ano,Instituição,Cod.IBGE,UF,População,codigo_funcao,nome_conta,Conta,Despesas Empenhadas,Despesas Liquidadas,Despesas Pagas,Inscrição de Restos a Pagar Não Processados,Inscrição de Restos a Pagar Processados,diferenca_empenhado_pago,taxa_execucao,restos_a_pagar,restos_sobre_empenhado,pago_per_capita,empenhado_per_capita
2024,Prefeitura Municipal de Goiânia - GO,5208707,GO,1414483,11,Trabalho,11 - Trabalho,1293451.03,1293451.03,0.0,0.0,1293451.03,1293451.03,0.0,1293451.03,100.0,0.0,0.9144337754501115
2024,Prefeitura Municipal de São Luís - MA,2111300,MA,1061374,23,Comércio e Serviços,23 - Comércio e Serviços,1867305.91,863856.63,559164.13,1003449.28,304692.5,1308141.7799999998,29.944966542734285,1308141.78,70.05503345726571,0.5268304386578152,1.7593288605147666
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,16,Habitação,16 - Habitação,2168153.21,650766.34,649674.84,1517386.87,1091.5,1518478.37,29.964434109340456,1518478.37,70.03556589065954,0.6762747549358935,2.2569248345160187
2024,Prefeitura Municipal de Teresina - PI,2211001,PI,868523,17,Saneamento,17 - Saneamento,4825482.62,1838886.97,1586615.17,2986595.65,252271.8,3238867.45,32.87992714809529,3238867.4499999997,67.1200728519047,1.8267969529880037,5.555964113788582
2024,Prefeitura Municipal de Teresina - PI,2211001,PI,868523,18,Gestão Ambiental,18 - Gestão Ambiental,3913655.2,1636057.35,1576162.65,2277597.85,59894.7,2337492.5500000003,40.27341626824969,2337492.5500000003,59.72658373175032,1.8147621306516926,4.506104271274336
2024,Prefeitura Municipal de Curitiba - PR,4106902,PR,1871789,16,Habitação,16 - Habitação,47450518.6,21807627.41,21807627.41,25642891.19,0.0,25642891.19,45.95867032315217,25642891.19,54.04132967684782,11.650686808181906,25.350356583995314
2024,Prefeitura Municipal de Vitória - ES,3205309,ES,331785,23,Comércio e Serviços,23 - Comércio e Serviços,15739115.51,7804478.54,7804478.54,7934636.97,0.0,7934636.97,49.58651288276872,7934636.97,50.413487117231284,23.522698554786984,47.43769462151695
2024,Prefeitura Municipal de São Luís - MA,2111300,MA,1061374,20,Agricultura,20 - Agricultura,4555374.74,4267733.23,2291631.27,287641.51,1976101.96,2263743.47,50.30609775914945,2263743.4699999997,49.69390224085055,2.159117587203003,4.291959987714039
2024,Prefeitura Municipal de Vitória - ES,3205309,ES,331785,24,Comunicações,24 - Comunicações,9937871.45,5244033.31,5091425.6,4693838.14,152607.71,4846445.85,51.2325564444688,4846445.85,48.7674435555312,15.345556911855567,29.952744849827447
2024,Prefeitura Municipal de Curitiba - PR,4106902,PR,1871789,15,Urbanismo,15 - Urbanismo,1805830695.76,999916789.99,982059804.58,805913905.77,17856985.41,823770891.18,54.38271743225028,823770891.18,45.61728256774972,524.6637332413002,964.7618913029193
