ano,Instituição,Cod.IBGE,UF,População,codigo_funcao,codigo_conta,nome_conta,Conta,Despesas Empenhadas,Despesas Liquidadas,Despesas Pagas,Inscrição de Restos a Pagar Não Processados,Inscrição de Restos a Pagar Processados,diferenca_empenhado_pago,taxa_execucao,pago_per_capita,participacao_pago_funcao
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.302,Assistência Hospitalar e Ambulatorial,10.302 - Assistência Hospitalar e Ambulatorial,765239820.97,756985932.6,739098739.88,8253888.37,17887192.72,26141081.090000033,96.58393612385929,769.3599758084747,58.53175586508911
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.301,Atenção Básica,10.301 - Atenção Básica,350505096.86,347675026.29,346872424.92,2830070.57,802601.37,3632671.9399999976,98.96358941066956,361.0745710220087,27.470013133895065
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.122,Administração Geral,10.122 - Administração Geral,78133279.68,77759961.25,77189022.44,373318.43,570938.81,944257.2400000095,98.7914788117595,80.34940561089326,6.112862562391201
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.305,Vigilância Epidemiológica,10.305 - Vigilância Epidemiológica,69644671.31,69120797.19,68567166.7,523874.12,553630.49,1077504.6099999994,98.45285419583094,71.37454154249079,5.430068332002401
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.303,Suporte Profilático e Terapêutico,10.303 - Suporte Profilático e Terapêutico,25039098.96,23611522.29,22785057.9,1427576.67,826464.39,2254041.0600000024,90.99791464700533,23.71795627413037,1.8044266272071456
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,10,10.304,Vigilância Sanitária,10.304 - Vigilância Sanitária,8211355.92,8155824.04,8141131.48,55531.88,14692.56,70224.43999999948,99.14478874519423,8.47445730934861,0.6447240328542821
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.361,Ensino Fundamental,12.361 - Ensino Fundamental,299333033.05,291273033.05,291273033.05,8060000.0,0.0,8060000.0,97.30734696472551,303.19874946261297,42.74939296622527
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.122,Administração Geral,12.122 - Administração Geral,235354744.17,209892861.58,193550273.99,25461882.59,16342587.59,41804470.17999998,82.23767686203766,201.4748856679786,28.406875277392174
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.368,Educação Básica,12.368 - Educação Básica,204227314.23,144131306.17,141609400.11,60096008.06,2521906.06,62617914.119999975,69.33910904323017,147.40737436593534,20.783646977626766
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.365,Educação Infantil,12.365 - Educação Infantil,51985617.1,50237143.03,50237143.03,1748474.07,0.0,1748474.0700000003,96.63661957376284,52.294023870914685,7.373176110406608
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.367,Educação Especial,12.367 - Educação Especial,3440711.17,3440711.17,3440711.17,0.0,0.0,0.0,100.0,3.5815856795330743,0.5049843178045305
2024,Prefeitura Municipal de Maceió - AL,2704302,AL,960667,12,12.366,Educação de Jovens e Adultos,12.366 - Educação de Jovens e Adultos,1239541.75,1239541.75,1239541.75,0.0,0.0,0.0,100.0,1.290292838205122,0.1819243505446532
